ADCAHA_Calathus_brevis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.0919906	0.0914676	0.0966521	0.104249	0.110365	0.111308	0.104805	0.0909452	0.0721441	0.0520575	0.0340671	0.0201852	0.0108203	0.00524662	0.00230189	0.000914392	0.000329178	0.000107521	3.19108e-05	8.61988e-06	2.12354e-06	4.78293e-07	9.88044e-08	1.87995e-08	3.31436e-09	5.46558e-10	8.6014e-11	1.38854e-11	3.25722e-12	
N13	0.0365396	0.0463903	0.0680684	0.0983949	0.129594	0.149944	0.149515	0.127089	0.0915158	0.0556488	0.0285448	0.0123575	0.00452274	0.00140297	0.000370058	8.3302e-05	1.60669e-05	2.66625e-06	3.82299e-07	4.75644e-08	5.15665e-09	4.89172e-10	4.07696e-11	2.99766e-12	1.95334e-13	1.13572e-14	5.99552e-16	3.09905e-17	2.50788e-18	
N14	0.0115227	0.0483607	0.187914	0.366583	0.274217	0.0927954	0.0166894	0.00178887	0.000123888	5.87923e-06	1.99836e-07	5.03486e-09	9.6634e-11	1.44464e-12	1.71353e-14	1.63796e-16	1.27877e-18	8.24903e-21	4.44181e-23	2.01462e-25	7.75918e-28	2.55625e-30	7.25167e-33	1.78224e-35	3.81664e-38	7.16563e-41	1.19217e-43	1.82702e-46	3.3547e-49	
ADCAHA_Calathus_ambiguus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_melanocephalus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_erratus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_fuscipes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	2.13281e-31	1.94393e-31	1.7669e-31	1.60126e-31	1.44655e-31	1.30241e-31	4.00481e-25	4.9098e-20	2.12179e-15	3.92066e-11	3.12174e-07	0.00111876	0.99786	0.00102115	2.60033e-07	2.9794e-11	1.47036e-15	3.10124e-20	2.30484e-25	1.93161e-32	1.63246e-32	1.37655e-32	1.15981e-32	9.7827e-33	8.28204e-33	7.06074e-33	6.08581e-33	5.32661e-33	4.75489e-33	
ADCAHA_Calathus_granatensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_rotundatus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_micropterus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
