NODE	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	
N1	0.0527965	0.057345	0.0653668	0.0755686	0.0861662	0.0949512	0.0997116	0.0988539	0.0919467	0.0799044	0.064698	0.0487174	0.0340724	0.0221146	0.0133129	0.00743075	0.00384485	0.00184409	0.000819881	0.000337937	0.000129156	4.57818e-05	1.50562e-05	4.59567e-06	1.30258e-06	3.43037e-07	8.39981e-08	1.91417e-08	4.06407e-09	8.05078e-10	1.49078e-10	2.58663e-11	4.21852e-12	6.4932e-13	1.23353e-16	4.60633e-17	1.68754e-17	6.09252e-18	2.17791e-18	7.74419e-19	2.75177e-19	9.86472e-20	3.73738e-20	1.86263e-20	
N2	0.0166276	0.0227989	0.0321146	0.0447671	0.0601587	0.0766956	0.0919072	0.102961	0.107463	0.104252	0.0938359	0.0782531	0.0603935	0.043097	0.028417	0.017305	0.00972943	0.00504951	0.00241898	0.00106969	0.000436701	0.000164628	5.73245e-05	1.84432e-05	5.48489e-06	1.50844e-06	3.83822e-07	9.04106e-08	1.97271e-08	3.98987e-09	7.48594e-10	1.30412e-10	2.11175e-11	3.18272e-12	4.47246e-13	5.87394e-14	7.23541e-15	8.40298e-16	9.27617e-17	9.85524e-18	1.02653e-18	1.08007e-19	1.25213e-20	2.55525e-21	
N3	0.0141741	0.019662	0.0283007	0.0406158	0.0564103	0.074328	0.091754	0.105295	0.111796	0.109497	0.0987464	0.081896	0.0624135	0.0436853	0.0280725	0.0165586	0.00896433	0.00445411	0.00203137	0.000850483	0.000326959	0.00011545	3.74559e-05	1.11698e-05	3.0631e-06	7.72828e-07	1.79491e-07	3.83958e-08	7.56964e-09	1.37625e-09	2.30916e-10	3.57831e-11	5.12561e-12	6.79367e-13	8.34306e-14	9.51034e-15	1.00899e-15	1.00055e-16	9.3376e-18	8.2921e-19	7.12812e-20	6.09773e-21	5.59989e-22	8.75745e-23	
N4	2.36778e-07	6.02167e-07	1.90687e-06	6.11009e-06	1.86851e-05	5.36865e-05	0.000144315	0.000362516	0.000850669	0.00186435	0.00381541	0.00728945	0.0129976	0.0216227	0.0335496	0.0485345	0.0654417	0.0822168	0.0962142	0.10485	0.106376	0.100453	0.0882787	0.0721857	0.0549166	0.038867	0.0255901	0.0156742	0.00893195	0.00473601	0.00233704	0.00107358	0.000459293	0.000183106	6.80885e-05	2.36509e-05	7.69325e-06	2.35378e-06	6.8287e-07	1.90845e-07	5.30817e-08	1.57859e-08	5.88525e-09	3.64777e-09	
ADDYDY_Cybister_sugillatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.53658e-09	1.04163e-08	4.01194e-08	1.61265e-07	6.30809e-07	2.33788e-06	8.11444e-06	2.62343e-05	7.87985e-05	0.000219579	0.00056716	0.00135702	0.00300605	0.00616208	0.0116837	0.0204817	0.0331822	0.0496629	0.0686415	0.0875845	0.103139	0.112062	0.112314	0.103817	0.0884907	0.0695477	0.0503966	0.0336711	0.0207437	0.0117856	0.00617687	0.00298747	0.00133417	0.000550638	0.000210296	7.44686e-05	2.45264e-05	7.54995e-06	2.18951e-06	6.06257e-07	1.64326e-07	4.60857e-08	1.54287e-08	8.53277e-09	
N6	2.70317e-24	3.61754e-23	6.43981e-22	1.12046e-20	1.84515e-19	2.84485e-18	4.07962e-17	5.41746e-16	6.64053e-15	7.49467e-14	7.77158e-13	7.38945e-12	6.43028e-11	5.11134e-10	3.70417e-09	2.44255e-08	1.46258e-07	7.93626e-07	3.89416e-06	1.72411e-05	6.87237e-05	0.000246065	0.000789587	0.00226543	0.00579831	0.0132086	0.0267209	0.0479016	0.0759413	0.106276	0.131075	0.142287	0.135822	0.113961	0.0840669	0.0545829	0.0312637	0.0158592	0.00717056	0.00292115	0.00109508	0.000397619	0.000160809	9.91008e-05	
ADDYDY_Cybister_lateralimarginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
ADDYDY_Cybister_japonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADDYDY_Cybister_tripunctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
