N7	1.32072e-13	8.98741e-13	7.86775e-12	6.65214e-11	5.16587e-10	3.64527e-09	2.33052e-08	1.34848e-07	7.05683e-07	3.33777e-06	1.42578e-05	5.49571e-05	0.00019097	0.000597648	0.00168273	0.00425806	0.00967321	0.0197073	0.0359684	0.0587493	0.08579	0.111894	0.130232	0.135147	0.12495	0.10285	0.0753275	0.0490642	0.0284096	0.0146195	0.00668493	0.00271608	0.000980658	0.000314725	8.98207e-05	2.2811e-05	5.16036e-06	1.04156e-06	1.88078e-07	3.05316e-08	4.49694e-09	6.11818e-10	7.96323e-11	1.06284e-11	1.69727e-12	5.20326e-13	
ADDYDY_Cybister_tripunctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N8	3.29494e-23	5.68321e-22	1.26707e-20	2.70328e-19	5.31671e-18	9.5482e-17	1.55939e-15	2.30987e-14	3.0962e-13	3.74716e-12	4.08522e-11	4.00264e-10	3.5159e-09	2.76177e-08	1.93492e-07	1.20584e-06	6.66585e-06	3.25915e-05	0.000140524	0.000532691	0.00176982	0.00513745	0.0129883	0.0285081	0.0541552	0.0887662	0.12518	0.151469	0.156877	0.138779	0.104681	0.0672406	0.0367517	0.0170879	0.00676065	0.00227787	0.000654471	0.000160648	3.37664e-05	6.09476e-06	9.48215e-07	1.27946e-07	1.52092e-08	1.68362e-09	2.16359e-10	6.56966e-11	
ADDYDY_Cybister_japonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ADDYDY_Cybister_lateralimarginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.00873727	0.0169853	0.0324717	0.0564857	0.0870579	0.11782	0.139598	0.14472	0.131337	0.104445	0.0728687	0.0446562	0.0240669	0.0114194	0.00477533	0.00176174	0.000573963	0.000165293	4.21199e-05	9.50653e-06	1.90247e-06	3.37951e-07	5.33488e-08	7.49292e-09	9.37494e-10	1.04624e-10	1.04284e-11	9.29631e-13	7.42187e-14	5.3142e-15	3.41748e-16	1.97673e-17	1.0299e-18	4.84043e-20	2.05521e-21	7.895e-23	2.74794e-24	8.67876e-26	2.49081e-27	6.50568e-29	1.54875e-30	3.367e-32	6.71277e-34	1.25028e-35	2.43239e-37	1.00914e-38	
N10	2.84489e-06	1.17015e-05	5.39104e-05	0.00022437	0.000814695	0.00256921	0.0070345	0.0167198	0.034484	0.061676	0.0955908	0.128291	0.148993	0.149645	0.129922	0.097471	0.063176	0.0353745	0.0171132	0.00715454	0.00258595	0.00080851	0.000218818	5.13075e-05	1.04329e-05	1.84181e-06	2.8264e-07	3.7754e-08	4.39611e-09	4.4692e-10	3.9734e-11	3.0947e-12	2.11536e-13	1.27136e-14	6.73158e-16	3.14627e-17	1.30077e-18	4.76723e-20	1.55228e-21	4.50153e-23	1.16575e-24	2.70516e-26	5.65999e-28	1.08939e-29	2.13652e-31	8.74432e-33	
N11	8.90934e-07	3.54401e-06	1.70195e-05	7.74769e-05	0.000313474	0.00110769	0.00340055	0.0090519	0.0208691	0.0416344	0.0718166	0.107026	0.137706	0.152884	0.146394	0.120865	0.0860233	0.0527787	0.0279181	0.0127356	0.00501239	0.00170303	0.000499883	0.000126872	2.78711e-05	5.30559e-06	8.76307e-07	1.25755e-07	1.57032e-08	1.709e-09	1.62379e-10	1.34938e-11	9.82641e-13	6.28372e-14	3.53678e-15	1.75686e-16	7.72765e-18	3.02323e-19	1.05868e-20	3.35015e-22	9.71791e-24	2.63666e-25	6.8578e-27	1.74916e-28	4.46832e-30	1.64401e-31	
N12	3.87864e-07	1.55287e-06	7.71817e-06	3.69261e-05	0.000158302	0.000595727	0.00195454	0.00557455	0.0137975	0.0295986	0.0549735	0.0883171	0.122629	0.147064	0.152245	0.135997	0.104798	0.0696586	0.0399405	0.0197588	0.00843673	0.00311084	0.000991202	0.000273135	6.51537e-05	1.34684e-05	2.41566e-06	3.76418e-07	5.10326e-08	6.0288e-09	6.21623e-10	5.60372e-11	4.42436e-12	3.06513e-13	1.86679e-14	1.00146e-15	4.74164e-17	1.98546e-18	7.36778e-20	2.42818e-21	7.12309e-23	1.86486e-24	4.3782e-26	9.39236e-28	2.06246e-29	9.61809e-31	
N13	7.94574e-07	2.44624e-06	9.08197e-06	3.35838e-05	0.00011593	0.000365791	0.00104724	0.00271202	0.00634226	0.0133777	0.025426	0.0435085	0.0669807	0.0927106	0.115315	0.128836	0.129255	0.11642	0.0941323	0.0683265	0.0445281	0.0260601	0.0137013	0.00647417	0.0027509	0.00105174	0.000362075	0.000112328	3.14311e-05	7.94002e-06	1.81264e-06	3.74365e-07	7.00254e-08	1.18767e-08	1.8287e-09	2.55935e-10	3.25994e-11	3.78397e-12	4.0081e-13	3.88024e-14	3.44107e-15	2.80948e-16	2.14542e-17	1.62235e-18	1.48938e-19	3.20251e-20	
