N13	0.000265387	0.0349001	0.840695	0.124015	0.000124726	2.9707e-08	2.66296e-12	1.12881e-16	2.60332e-21	3.59389e-26	3.18267e-31	1.90511e-36	8.02849e-42	2.46057e-47	5.63082e-53	9.83275e-59	1.33416e-64	1.42819e-70	1.22185e-76	8.44692e-83	4.82145e-89	7.81247e-95	1.15251e-99	9.42024e-104	
ADCATR_Bembidion_quadrimaculatum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_tairuense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_articulatum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_punctulatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	0.0414184	0.718873	0.236672	0.00303613	2.46962e-07	3.78619e-12	1.99057e-17	4.15495e-23	9.72484e-28	1.38888e-30	1.55009e-33	1.34918e-36	9.39823e-40	5.34933e-43	2.53044e-46	1.00891e-49	3.43102e-53	1.00528e-56	2.56048e-60	6.18387e-64	2.40967e-66	7.22643e-68	1.52141e-70	2.22786e-72	
N15	0.0149102	0.399014	0.505427	0.0804752	0.000172779	7.41293e-08	1.12755e-11	7.94085e-16	3.02676e-20	6.9195e-25	1.02031e-29	1.02436e-34	7.30081e-40	3.81838e-45	1.5054e-50	4.57425e-56	1.09133e-61	2.41606e-67	3.29641e-70	2.25223e-72	1.03067e-74	2.86158e-77	4.17565e-82	5.65572e-85	
N16	3.61732e-05	0.00785118	0.217115	0.774054	0.000943918	2.10019e-07	1.61006e-11	5.62926e-16	1.05442e-20	1.1752e-25	8.39028e-31	4.05235e-36	1.3806e-41	3.42907e-47	6.37592e-53	9.06962e-59	1.00489e-64	8.80364e-71	6.17709e-77	3.74155e-83	5.2673e-88	7.07765e-92	7.61933e-97	7.69306e-101	
ADCATR_Bembidion_rapidum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_levigatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	4.19529e-09	1.87416e-05	0.0121322	0.987796	5.2805e-05	5.13475e-10	1.73523e-15	2.40507e-21	1.50748e-27	9.13336e-34	1.12922e-35	4.22208e-39	1.23798e-42	2.89835e-46	5.49175e-50	8.50713e-54	1.0852e-57	1.14525e-61	1.00206e-65	7.28569e-70	7.99856e-74	4.29283e-76	6.30848e-79	5.14998e-81	
ADCATR_Bembidion_balli	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	4.16525e-11	1.18312e-06	0.00411985	0.995868	1.14049e-05	1.61857e-11	6.79153e-18	1.10466e-24	7.81168e-32	2.52566e-39	3.57423e-47	4.29373e-55	2.7736e-61	1.91641e-67	6.32206e-74	6.28092e-81	1.88733e-47	1.87204e-47	1.49278e-56	1.64006e-53	1.20419e-50	6.06909e-48	1.16584e-46	5.552e-44	
ADCATR_Bembidion_lapponicum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_confusum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	0.0393229	0.720298	0.237359	0.00301937	2.00781e-07	2.26072e-12	8.17319e-18	1.19633e-23	7.69051e-30	2.33358e-36	4.39851e-43	3.56792e-48	1.27009e-52	3.6993e-57	8.89699e-62	1.79302e-66	3.06532e-71	4.49175e-76	5.69159e-81	5.9586e-86	4.40441e-91	3.71213e-94	8.08895e-101	3.71851e-103	
N20	4.85507e-05	0.0153259	0.334692	0.64903	0.000903031	1.13041e-07	2.31202e-12	1.58697e-17	4.90818e-23	7.92089e-29	7.48693e-35	1.10238e-39	2.7688e-43	5.78511e-47	9.86718e-51	1.38842e-54	1.62476e-58	1.59068e-62	1.43e-66	8.88257e-69	4.31247e-70	1.31192e-71	1.03492e-74	1.54884e-76	
N21	5.55955e-06	0.0032536	0.199437	0.796627	0.000676654	7.89598e-08	2.78025e-12	4.13826e-17	3.13911e-22	1.3655e-27	3.69202e-33	6.57487e-39	8.05248e-45	7.01033e-51	4.45095e-57	2.10275e-63	7.50848e-70	2.05142e-76	1.26216e-82	1.43464e-85	1.68927e-88	1.27109e-91	6.42737e-96	3.59807e-99	
ADCATR_Bembidion_antiquum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	9.28423e-09	4.33205e-05	0.0311761	0.968673	0.000107194	1.59412e-09	7.20279e-15	1.24804e-20	9.44211e-27	4.07421e-33	4.45355e-36	1.21806e-39	2.616e-43	4.51667e-47	6.38581e-51	7.50414e-55	7.41952e-59	6.2349e-63	4.59738e-67	3.58444e-69	8.90527e-70	1.60805e-70	7.09355e-72	9.04743e-73	
ADCATR_Bembidion_integrum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N23	5.7408e-10	7.97121e-06	0.0166997	0.983259	3.35042e-05	1.41476e-10	1.75688e-16	8.50627e-23	1.82273e-29	1.83447e-36	8.06513e-44	1.44581e-51	4.46229e-58	2.37831e-57	8.91618e-58	1.379e-58	5.16104e-60	1.37607e-62	4.75864e-74	8.34345e-74	9.42951e-74	7.15954e-74	9.10847e-75	5.08289e-75	
N24	1.73825e-10	2.54607e-06	0.00829983	0.991613	8.46108e-05	9.09957e-10	2.91273e-15	3.87922e-21	2.55194e-27	9.16936e-34	1.90931e-40	2.38064e-47	1.7989e-54	8.14271e-62	2.12242e-69	2.89243e-77	1.57173e-85	1.06188e-93	1.20529e-96	1.17948e-99	7.16917e-103	2.58247e-106	4.31485e-110	4.34925e-114	
ADCATR_Bembidion_honestum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCATR_Bembidion_arenobilis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
