N13	1.73806e-07	3.05053e-07	8.2864e-07	2.68211e-06	8.93157e-06	2.8674e-05	8.64192e-05	0.000241892	0.000626013	0.00149503	0.00329188	0.00668046	0.0124943	0.0215401	0.0342455	0.0502448	0.0681035	0.0854039	0.0992884	0.107315	0.108275	0.102599	0.0921798	0.0797034	0.0678042	0.0583397	
POCHCH_Chrysolina_varians	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
POCHCH_Chrysolina_geminata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N14	8.22889e-07	1.54683e-06	4.12584e-06	1.21749e-05	3.61782e-05	0.00010398	0.000283131	0.000721791	0.00171031	0.00374973	0.0075848	0.0141301	0.0242199	0.0381809	0.0553592	0.07386	0.0907636	0.102886	0.107835	0.10488	0.0951994	0.0813771	0.0664452	0.0529442	0.0423998	0.0353115	
POCHCH_Chrysolina_curvilinea	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	7.85928e-06	1.19262e-05	2.61717e-05	6.78666e-05	0.000182607	0.00047741	0.00117634	0.00269407	0.00569813	0.0110964	0.0198664	0.032676	0.0493621	0.0684888	0.0873031	0.102299	0.110294	0.109575	0.100541	0.0855095	0.0678055	0.0506203	0.0361681	0.0254156	0.0183209	0.0143161	
POCHCH_Chrysolina_carnifex	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCH_Chrysolina_marginata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N16	1.19481e-09	2.79108e-09	9.93213e-09	4.02521e-08	1.6717e-07	6.77934e-07	2.61597e-06	9.46313e-06	3.18091e-05	9.88192e-05	0.00028279	0.000743936	0.00179701	0.00398367	0.00810481	0.0151415	0.0260047	0.0411306	0.0600634	0.0812551	0.102262	0.120319	0.133039	0.138926	0.137529	0.129273	
N17	1.2828e-08	2.54624e-08	7.34014e-08	2.38763e-07	7.97906e-07	2.62572e-06	8.3162e-06	2.50165e-05	7.09124e-05	0.000188516	0.000468679	0.00108792	0.00235591	0.00475825	0.00896491	0.015765	0.0258988	0.0397943	0.0572748	0.0773492	0.0982003	0.117424	0.132465	0.141132	0.142016	0.134748	
N18	2.06731e-08	3.7578e-08	1.02279e-07	3.25313e-07	1.07504e-06	3.49463e-06	1.08827e-05	3.20461e-05	8.86604e-05	0.00022973	0.00055664	0.00126038	0.00266637	0.00527085	0.00973965	0.0168332	0.0272333	0.0412859	0.0587255	0.0784934	0.0987536	0.117153	0.131263	0.139074	0.139376	0.131949	
POCHCH_Chrysolina_diluta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
N19	4.19244e-10	9.76017e-10	3.81963e-09	1.76044e-08	8.18199e-08	3.61891e-07	1.49124e-06	5.67847e-06	1.99147e-05	6.42258e-05	0.000190334	0.000518135	0.00129554	0.00297577	0.00628115	0.0121908	0.021775	0.0358391	0.0544436	0.0765011	0.0997066	0.120949	0.137099	0.145838	0.146126	0.13818	
N20	2.77284e-10	7.02625e-10	3.04382e-09	1.52599e-08	7.58929e-08	3.554e-07	1.53925e-06	6.12466e-06	2.23272e-05	7.44707e-05	0.000227099	0.000632874	0.00161125	0.00374691	0.00795827	0.0154389	0.0273613	0.0443128	0.065624	0.0889637	0.11062	0.126608	0.134207	0.133105	0.125366	0.114112	
POCHCH_Chrysolina_haemoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
POCHCH_Chrysolina_obsoleta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
