state	winged	wingless
1	1.112090582	27.95323169
2	10.79331916	2.493072333
3	10.62103918	2.61097956
4	11.04052303	2.345752572
5	10.81967231	2.516897209
6	8.107745285	6.433029847
7	8.41871228	5.793120729
8	8.40456561	5.841818688
9	8.456758569	5.740574988
10	0.782128046	21.69214762
11	2.876452848	2.623529341
12	0.40239594	8.552438219
13	3.6169607	0.281633502
14	1.440027698	8.162019632
15	0.421323015	11.69804055
16	0.487811772	8.233928183
17	3.160267267	3.365061611
18	0.45497579	8.42987286
19	0.45505989	8.695762946
20	3.260018386	3.102762528
21	1.707187054	0.370947152
22	1.380929208	1.617185447
23	1.747370746	0.548716398
24	1.470304184	1.354622996
25	1.724500472	0.576118922
26	1.155922145	2.43898975
27	1.213499485	2.177629893
28	1.128044652	2.450017034
29	1.168711537	2.260951625
30	1.165921323	2.299726112
31	3.81041849	0.417480487
32	1.437939995	7.483281465
33	3.574551684	0.431279879
34	3.547481739	0.27997788
35	3.558292798	0.712716227
36	5.471511841	15.42393565
37	4.144338756	18.98289156
38	4.15153558	19.73050922
39	4.184881161	17.60732372
40	10.60127491	0.278989276
41	1.821891632	1.93141373
42	1.815875334	1.933524952
43	0.607106878	5.302014164
44	1.74390077	2.093155236
45	1.866383098	1.823035632
46	1.54547787	0.413398331
47	1.552816032	0.534383535
48	1.524920488	0.385961098
49	1.562731032	0.277515403
50	1.55182682	0.252905698
51	1.480653605	10.76798854
52	1.512340434	12.0047559
53	1.509191424	10.45461724
54	1.510322068	10.29917831
55	0.744503393	12.25657878
56	1.248207378	8.065222685
57	3.418655589	0.465892082
58	1.149198895	7.711911776
59	1.183836204	7.312817039
60	3.058398656	1.849523668
61	0.41928539	6.888787874
62	0.398486003	6.081277216
63	0.432482667	9.55897146
64	0.423218598	7.84622343
65	0.428672409	6.790922455
66	4.443363442	0.253980964
67	4.240557587	0.285740192
68	4.098464211	0.14305026
69	4.013158072	0.158391797
70	4.165325876	1.565333468
71	0.503817435	43.34281909
72	0.96609851	50.31482492
73	0.476505056	45.06012164
74	1.311838718	54.76451235
75	1.3444327	58.27511859
76	0.552672615	3.504445181
77	0.505074065	3.727639476
78	0.47580442	3.701740152
79	0.542657319	3.467690963
80	0.570644711	4.594145858
81	1.114516906	6.289089848
82	1.218559068	7.011695012
83	1.285183241	8.17729942
84	1.899724584	5.536008698
85	1.383217714	7.738103072
86	1.32659114	2.263506555
87	1.338646241	2.251868991
88	1.424920684	1.943289139
89	1.316496588	2.63319466
90	1.371007086	2.218104994
91	2.286722727	3.195430753
92	2.305727487	3.144411951
93	2.271903307	3.251130702
94	0.572032847	7.50926692
95	0.561855896	7.664000506
96	2.482443232	0.738044433
97	2.456539799	0.70934421
98	2.469962678	0.6963031
99	2.543112812	0.771945099
100	2.455339555	0.748637547
101	14.84505056	0.880485316
102	14.85247501	0.879179088
103	15.09155317	0.998563254
104	14.83636845	0.882207837
105	14.50351207	0.732743307
106	0.426833681	12.40585075
107	0.395714162	14.2155831
108	0.467686946	9.970459092
109	0.458793187	9.618057851
110	0.390633406	8.104486993
111	3.584071821	0.192825825
112	3.538091863	0.259287096
113	3.583762776	0.26224832
114	3.530996946	0.11939813
115	3.252258744	1.679049745
116	0.805483595	12.06887013
117	0.792702729	10.0154996
118	0.818300809	11.40952357
119	0.8154021	12.29451159
120	0.764204056	11.56019512
121	2.008052905	0.899363837
122	2.008143712	0.870555146
123	2.009618509	0.885913785
124	2.010315065	0.898986142
125	1.998927258	0.912097411
126	0.721231755	5.096589045
127	0.730254805	5.205168793
128	0.768990679	5.462879494
129	0.728898287	5.203571975
130	0.72254124	5.042826237
131	0.405274353	8.559751089
132	1.401799083	5.31784558
133	0.423720302	8.297085503
