state	winged	wingless
0	1.112090582	27.95323169
1000	10.79331916	2.493072333
2000	10.62103918	2.61097956
3000	11.04052303	2.345752572
4000	10.81967231	2.516897209
5000	8.107745285	6.433029847
6000	8.41871228	5.793120729
7000	8.40456561	5.841818688
8000	8.456758569	5.740574988
9000	0.782128046	21.69214762
10000	2.876452848	2.623529341
11000	0.40239594	8.552438219
12000	3.6169607	0.281633502
13000	1.440027698	8.162019632
14000	0.421323015	11.69804055
15000	0.487811772	8.233928183
16000	3.160267267	3.365061611
17000	0.45497579	8.42987286
18000	0.45505989	8.695762946
19000	3.260018386	3.102762528
20000	1.707187054	0.370947152
21000	1.380929208	1.617185447
22000	1.747370746	0.548716398
23000	1.470304184	1.354622996
24000	1.724500472	0.576118922
25000	1.155922145	2.43898975
26000	1.213499485	2.177629893
27000	1.128044652	2.450017034
28000	1.168711537	2.260951625
29000	1.165921323	2.299726112
30000	3.81041849	0.417480487
31000	1.437939995	7.483281465
32000	3.574551684	0.431279879
33000	3.547481739	0.27997788
34000	3.558292798	0.712716227
35000	5.471511841	15.42393565
36000	4.144338756	18.98289156
37000	4.15153558	19.73050922
38000	4.184881161	17.60732372
39000	10.60127491	0.278989276
40000	1.821891632	1.93141373
41000	1.815875334	1.933524952
42000	0.607106878	5.302014164
43000	1.74390077	2.093155236
44000	1.866383098	1.823035632
45000	1.54547787	0.413398331
46000	1.552816032	0.534383535
47000	1.524920488	0.385961098
48000	1.562731032	0.277515403
49000	1.55182682	0.252905698
50000	1.480653605	10.76798854
51000	1.512340434	12.0047559
52000	1.509191424	10.45461724
53000	1.510322068	10.29917831
54000	0.744503393	12.25657878
55000	1.248207378	8.065222685
56000	3.418655589	0.465892082
57000	1.149198895	7.711911776
58000	1.183836204	7.312817039
59000	3.058398656	1.849523668
60000	0.41928539	6.888787874
61000	0.398486003	6.081277216
62000	0.432482667	9.55897146
63000	0.423218598	7.84622343
64000	0.428672409	6.790922455
65000	4.443363442	0.253980964
66000	4.240557587	0.285740192
67000	4.098464211	0.14305026
68000	4.013158072	0.158391797
69000	4.165325876	1.565333468
70000	0.503817435	43.34281909
71000	0.96609851	50.31482492
72000	0.476505056	45.06012164
73000	1.311838718	54.76451235
74000	1.3444327	58.27511859
75000	0.552672615	3.504445181
76000	0.505074065	3.727639476
77000	0.47580442	3.701740152
78000	0.542657319	3.467690963
79000	0.570644711	4.594145858
80000	1.114516906	6.289089848
81000	1.218559068	7.011695012
82000	1.285183241	8.17729942
83000	1.899724584	5.536008698
84000	1.383217714	7.738103072
85000	1.32659114	2.263506555
86000	1.338646241	2.251868991
87000	1.424920684	1.943289139
88000	1.316496588	2.63319466
89000	1.371007086	2.218104994
90000	2.286722727	3.195430753
91000	2.305727487	3.144411951
92000	2.271903307	3.251130702
93000	0.572032847	7.50926692
94000	0.561855896	7.664000506
95000	2.482443232	0.738044433
96000	2.456539799	0.70934421
97000	2.469962678	0.6963031
98000	2.543112812	0.771945099
99000	2.455339555	0.748637547
100000	14.84505056	0.880485316
101000	14.85247501	0.879179088
102000	15.09155317	0.998563254
103000	14.83636845	0.882207837
104000	14.50351207	0.732743307
105000	0.426833681	12.40585075
106000	0.395714162	14.2155831
107000	0.467686946	9.970459092
108000	0.458793187	9.618057851
109000	0.390633406	8.104486993
110000	3.584071821	0.192825825
111000	3.538091863	0.259287096
112000	3.583762776	0.26224832
113000	3.530996946	0.11939813
114000	3.252258744	1.679049745
115000	0.805483595	12.06887013
116000	0.792702729	10.0154996
117000	0.818300809	11.40952357
118000	0.8154021	12.29451159
119000	0.764204056	11.56019512
120000	2.008052905	0.899363837
121000	2.008143712	0.870555146
122000	2.009618509	0.885913785
123000	2.010315065	0.898986142
124000	1.998927258	0.912097411
125000	0.721231755	5.096589045
126000	0.730254805	5.205168793
127000	0.768990679	5.462879494
128000	0.728898287	5.203571975
129000	0.72254124	5.042826237
130000	0.405274353	8.559751089
131000	1.401799083	5.31784558
132000	0.423720302	8.297085503
133000	0.400978679	10.32749047
134000	0.332637766	8.274916151
135000	0.435093901	10.34729204
136000	0.437088407	10.9290576
137000	0.470353371	9.75333757
138000	0.491139184	10.68726404
139000	0.476449395	10.90045385
140000	1.166545952	0.986922619
141000	1.230158696	0.866869048
142000	1.321848327	0.448094847
143000	1.231024436	0.814744843
144000	1.200972228	0.915447873
145000	1.809502456	4.898314211
146000	1.842653635	4.512622494
147000	1.837993278	4.459125523
148000	0.659917802	6.753473028
149000	1.83002911	4.572721618
150000	12.54335189	0.356420311
151000	0.440733212	30.65664523
152000	0.4563509	34.84695101
153000	0.458014733	29.5984123
