"species","chrom.num"
"POTEPI_Pimelia_ascendens",18
"POTEPI_Pimelia_atlantis_atlantis",18
"POTEPI_Pimelia_atlantis_frigioides",18
"POTEPI_Pimelia_baetica",18
"POTEPI_Pimelia_boyeri",18
"POTEPI_Pimelia_canariensis",18
"POTEPI_Pimelia_costata",18
"POTEPI_Pimelia_criba",20
"POTEPI_Pimelia_echidna",18
"POTEPI_Pimelia_elevata",20
"POTEPI_Pimelia_estevezi",18
"POTEPI_Pimelia_fernandezlopezi",18
"POTEPI_Pimelia_granulicollis",18
"POTEPI_Pimelia_integra",18
"POTEPI_Pimelia_interjecta",20
"POTEPI_Pimelia_laevigata_costipennis",18
"POTEPI_Pimelia_laevigata_laevigata",18
"POTEPI_Pimelia_laevigata_validipes",18
"POTEPI_Pimelia_lutaria",18
"POTEPI_Pimelia_maura",18
"POTEPI_Pimelia_mauritanica",18
"POTEPI_Pimelia_monticola",18
"POTEPI_Pimelia_radula",18
"POTEPI_Pimelia_rugosa",18
"POTEPI_Pimelia_scabrosa",18
"POTEPI_Pimelia_sparsa_albohumeralis",18
"POTEPI_Pimelia_sparsa_serrimargo",18
"POTEPI_Pimelia_sparsa_sparsa",18
"POTEPI_Pimelia_variolosa",18
