"species","chrom.num"
"ADDYAG_Agabus_biguttatus",43
"ADDYAG_Agabus_bipustulatus",42.5
"ADDYAG_Agabus_confinis",42.5
"ADDYAG_Agabus_conspersus",41.5
"ADDYAG_Agabus_ramblae",43
"ADDYAG_Agabus_sturmii",42.5
"ADDYCO_Colymbetes_paykulli",38.5
"ADDYCO_Colymbetes_striatus",41.8
"ADDYDY_Cybister_japonicus",43
"ADDYDY_Cybister_lateralimarginalis",22
"ADDYDY_Cybister_sugillatus",43
"ADDYDY_Cybister_tripunctatus",43
"ADDYDY_Dytiscus_circumcinctus",38
"ADDYDY_Dytiscus_dauricus",37
"ADDYDY_Dytiscus_marginalis_M",38.3
"ADDYDY_Eretes_sticticus",43
"ADDYHY_Hydroporus_sp",35
"ADDYHY_Hydrovatus_sp",33
"ADDYAG_Ilybius_aenescens",35
"ADDYAG_Ilybius_albarracinensis",35
"ADDYAG_Ilybius_ater",35
"ADDYAG_Ilybius_chalconatus",35
"ADDYAG_Ilybius_erichsoni",35
"ADDYAG_Ilybius_fuliginosus",35
"ADDYAG_Ilybius_guttiger",35
"ADDYAG_Ilybius_quadriguttatus",35
"ADDYAG_Ilybius_subaeneus",35
"ADDYAG_Ilybius_vittiger",35
"ADDYAG_Ilybius_wasastjernae",37
"ADDYHY_Nebrioporus_lanceolatus_M",49
"ADDYAG_Platambus_sp",19
"ADDYCO_Rhantus_exsoletus",41.5
"ADDYHY_Stictotarsus_griseostriatus",61
