"species","chrom.num"
"POCOCO_Anatis_sp",18
"POCOCO_Azya_sp",23.3
"POCOCO_Calvia_quatuordecimguttata",20
"POCOCH_Chilocorus_bipustulatus",22
"POCOCH_Chilocorus_renipustulatus",20
"POCOCH_Chilocorus_stigma",25
"POCOCO_Chnoodes_sp",18
"POCOCO_Coccinella_septempunctata",20
"POCOCO_Coelophora_sp",20
"POCOCO_Coleomegilla_maculata",20
"POCOSC_Cryptognatha_sp",14
"POCOOR_Cryptolaemus_montrouzieri",22
"POCOCH_Curinus_coeruleus",16
"POCOCO_Cycloneda_sanguinea",20
"POCOCO_Epilachna_sp",18.4
"POCOCH_Exochomus_quadripustulatus",14
"POCOCO_Hippodamia_convergens",20
"POCOCO_Hippodamia_quinquesignata",20
"POCOSC_Hyperaspis_lateralis",14
"POCOCO_Illeis_sp",20
"POCOCO_Micraspis_sp",20
"POCOMI_Microweisea_sp",20
"POCOCO_Olla_sp",20
"POCOCH_Orcus_sp",18
"POCOST_Prodilis_sp",24
"POCOCO_Psyllobora_sp",18
"POCOCO_Rhyzobius_sp",17
"POCOOR_Rodolia_cardinalis",17
"POCOSC_Scymnus_nubilus",16
"POCOCO_Sumnius_sp",18
