"species","chrom.num"
"POLALA_Aspisoma_sp",19
"POLAPH_Bicellonycha_sp",18
"POLALA_Cryptolestes_sp",18.3
"POLALA_Ellychnia_californica",19
"POLALA_Ellychnia_corrusca",19
"POLALA_Lucidota_sp",19
"POLALU_Luciola_cruciata",17
"POLALU_Luciola_lateralis",17
"POLALA_Photinus_australis",19
"POLALA_Photinus_pyralis",19
"POLAPH_Photuris_sp",18.5
"POLALA_Pyractomena_angulata",19
"POLALA_Pyractomena_borealis",19
