N8	4.92368e-23	2.89028e-22	3.12909e-21	3.84077e-20	4.84025e-19	6.00351e-18	7.13549e-17	7.99196e-16	8.3517e-15	8.09568e-14	7.25354e-13	5.99311e-12	4.55856e-11	3.18776e-10	2.04697e-09	1.20568e-08	6.50726e-08	3.21497e-07	1.4526e-06	5.99646e-06	2.25958e-05	7.76528e-05	0.000243173	0.000693342	0.00179855	0.00424159	0.00908833	0.0176821	0.031222	0.0500132	0.0726566	0.0957099	0.114321	0.123846	0.121753	0.108758	0.0884934	0.065921	0.0454076	0.0294673	0.0185757	
ADDYDY_Eretes_sticticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.31682e-20	6.03725e-20	6.69826e-19	8.70035e-18	1.09371e-16	1.27833e-15	1.37697e-14	1.36333e-13	1.23907e-12	1.03262e-11	7.88341e-11	5.50813e-10	3.51899e-09	2.05389e-08	1.09426e-07	5.31747e-07	2.35508e-06	9.5e-06	3.48801e-05	0.000116497	0.000353755	0.000976206	0.00244713	0.00557065	0.0115126	0.0215964	0.0367693	0.0568167	0.0796874	0.101463	0.117315	0.12323	0.11766	0.102183	0.0807772	0.0581661	0.0381774	0.0228605	0.0125351	0.00641706	0.00332187	
ADDYDY_Dytiscus_dauricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
N10	2.4445e-16	9.25845e-16	7.47753e-15	7.28119e-14	7.09165e-13	6.4902e-12	5.463e-11	4.19593e-10	2.93057e-09	1.85764e-08	1.06724e-07	5.55076e-07	2.61095e-06	1.10969e-05	4.25805e-05	0.000147403	0.000460068	0.00129398	0.00327822	0.00747859	0.0153598	0.0283981	0.047265	0.0708251	0.0955711	0.11617	0.127252	0.125675	0.111965	0.0900362	0.065391	0.0429177	0.025468	0.0136696	0.0066373	0.00291509	0.00115783	0.000416257	0.000136557	4.26452e-05	1.51199e-05	
ADDYDY_Dytiscus_marginalis_M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYDY_Dytiscus_circumcinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	1.66368e-37	6.37698e-36	4.75419e-34	3.3693e-32	2.15789e-30	1.24275e-28	6.42157e-27	2.971e-25	1.22819e-23	4.52706e-22	1.48469e-20	4.32314e-19	1.11528e-17	2.54365e-16	5.11808e-15	9.06599e-14	1.41085e-12	1.92495e-11	2.29808e-10	2.39595e-09	2.17746e-08	1.72188e-07	1.1828e-06	7.04671e-06	3.6358e-05	0.00016225	0.000625514	0.00208131	0.00597241	0.0147719	0.0314825	0.0578167	0.0915255	0.124987	0.147421	0.150455	0.133209	0.102731	0.0695898	0.04237	0.0247538	
N12	1.07196e-29	1.90992e-28	6.78997e-27	2.52862e-25	8.79849e-24	2.7824e-22	7.93202e-21	2.03151e-19	4.6639e-18	9.57891e-17	1.7567e-15	2.87133e-14	4.17507e-13	5.3907e-12	6.1694e-11	6.24725e-10	5.5877e-09	4.40706e-08	3.06012e-07	1.86781e-06	1.0007e-05	4.69954e-05	0.000193218	0.000694673	0.0021818	0.00598087	0.0142991	0.0297981	0.0541023	0.0855587	0.117836	0.141337	0.147657	0.134386	0.106578	0.0736823	0.0444441	0.023457	0.0109475	0.00469612	0.00211095	
N13	2.76655e-18	1.43922e-17	1.81103e-16	2.5537e-15	3.38183e-14	4.07327e-13	4.43201e-12	4.34529e-11	3.83191e-10	3.03446e-09	2.1545e-08	1.36954e-07	7.78333e-07	3.94967e-06	1.78751e-05	7.20723e-05	0.000258651	0.000825535	0.00234175	0.00590067	0.0132022	0.0262222	0.0462299	0.0723472	0.100517	0.124025	0.135962	0.132498	0.114866	0.0886578	0.0609828	0.0374236	0.0205155	0.0100614	0.00442211	0.00174553	0.000620626	0.000199721	5.87615e-05	1.63225e-05	5.02758e-06	
N14	5.32628e-15	2.79078e-14	3.22705e-13	4.17074e-12	5.03624e-11	5.43555e-10	5.17885e-09	4.33439e-08	3.17674e-07	2.03373e-06	1.1347e-05	5.50643e-05	0.000232004	0.000847459	0.00268062	0.00733643	0.0173643	0.0355377	0.0629027	0.0963435	0.127792	0.146958	0.146711	0.127345	0.0962711	0.0635057	0.0366259	0.0185064	0.00820999	0.00320487	0.00110334	0.000335781	9.05531e-05	2.16951e-05	4.63051e-06	8.8315e-07	1.51041e-07	2.32629e-08	3.25094e-09	4.26765e-10	6.84442e-11	
ADDYAG_Ilybius_erichsoni	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_albarracinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_chalconatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	1.08209e-25	1.42977e-24	3.7428e-23	1.04654e-21	2.76631e-20	6.66662e-19	1.44692e-17	2.81417e-16	4.89112e-15	7.58054e-14	1.04568e-12	1.28147e-11	1.39272e-10	1.34e-09	1.13946e-08	8.54926e-08	5.65075e-07	3.28527e-06	1.67764e-05	7.51452e-05	0.000294871	0.00101249	0.00303896	0.00796602	0.018222	0.0363502	0.0632051	0.0957575	0.126378	0.145285	0.145496	0.126961	0.0965774	0.064085	0.0371332	0.0188186	0.00836414	0.00327924	0.0011523	0.000382927	0.000143884	
N16	3.7432e-13	1.11484e-12	6.81273e-12	5.05857e-11	3.80093e-10	2.69977e-09	1.76437e-08	1.04891e-07	5.64292e-07	2.73948e-06	1.19802e-05	4.71326e-05	0.000166641	0.000529002	0.00150666	0.00384753	0.008805	0.0180503	0.0331382	0.0544743	0.0801779	0.10567	0.124728	0.131894	0.125	0.106229	0.0810006	0.0554571	0.0341192	0.0188804	0.00940658	0.00422436	0.00171223	0.000627318	0.000208121	6.26631e-05	1.71738e-05	4.30537e-06	9.9964e-07	2.25719e-07	6.17014e-08	
