NODE	16	17	18	19	
N1	0.00588363	0.994116	7.20035e-21	1.75763e-41	
N2	0.000109779	0.99989	1.5693e-21	1.69074e-44	
N3	1.26626e-05	0.999987	1.92214e-11	5.6543e-34	
POLALU_Luciola_lateralis	0	1	0	0	
POLALU_Luciola_cruciata	0	0	1	0	
N4	2.05684e-05	0.999979	8.78156e-13	1.54499e-36	
N5	5.50117e-09	0.0231228	0.976877	1.35304e-23	
POLAPH_Bicellonycha_sp	0	0	1	0	
POLAPH_Photuris_sp	0	0	1	0	
N6	3.64351e-06	0.999996	3.37136e-23	7.5709e-47	
POLALA_Lucidota_sp	0	1	0	0	
N7	4.5843e-07	1	3.05264e-24	1.23084e-48	
N8	2.28247e-08	1	7.37557e-24	7.35892e-48	
N9	3.09108e-09	1	3.9115e-24	2.03106e-48	
N10	1.34019e-11	1	3.99301e-25	2.05945e-50	
POLALA_Ellychnia_corrusca	0	1	0	0	
POLALA_Ellychnia_californica	0	1	0	0	
POLALA_Photinus_pyralis	0	1	0	0	
POLALA_Photinus_australis	0	1	0	0	
N11	1.2338e-07	1	1.45221e-23	2.91363e-47	
POLALA_Aspisoma_sp	0	1	0	0	
N12	4.65014e-09	1	8.03067e-24	8.67989e-48	
POLALA_Pyractomena_borealis	0	1	0	0	
POLALA_Pyractomena_angulata	0	1	0	0	
POLALA_Cryptolestes_sp	0	0	1	0	
