N9	0.0052299	0.0111991	0.0250399	0.0505496	0.087671	0.12867	0.159011	0.165103	0.143846	0.105067	0.0643057	0.0329765	0.0141742	0.00511087	0.00154798	0.000394518	8.47893e-05	1.54056e-05	2.37305e-06	3.10859e-07	3.47432e-08	3.3244e-09	2.73293e-10	1.9372e-11	1.18829e-12	6.33051e-14	2.93957e-15	1.19397e-16	4.25669e-18	1.33659e-19	3.70872e-21	9.12747e-23	2.00993e-24	4.25815e-26	1.8453e-27	
N10	0.00113293	0.00284721	0.00795459	0.0204596	0.0453022	0.0842688	0.130276	0.166405	0.174974	0.1511	0.107015	0.0621332	0.0295867	0.0115697	0.00372305	0.000988654	0.000217386	3.97329e-05	6.06264e-06	7.75787e-07	8.36464e-08	7.63614e-09	5.93102e-10	3.93831e-11	2.24637e-12	1.10576e-13	4.71866e-15	1.75329e-16	5.69644e-18	1.62495e-19	4.08575e-21	9.09255e-23	1.80586e-24	3.42071e-26	1.3014e-27	
ADCACI_Taenidia_circumdata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCACI_Cylindera_cognata	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	2.64655e-05	0.000110137	0.000521588	0.00217488	0.00760021	0.0219293	0.0517408	0.0989913	0.152411	0.18758	0.183524	0.142148	0.0869504	0.0419815	0.0160228	0.00485017	0.00117019	0.000226413	3.53783e-05	4.49797e-06	4.68913e-07	4.0394e-08	2.89722e-09	1.74289e-10	8.8559e-12	3.82623e-13	1.4146e-14	4.50215e-16	1.24043e-17	2.9744e-19	6.23836e-21	1.15004e-22	1.87759e-24	2.86797e-26	8.44551e-28	
ADCACI_Cicindela_marutha	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCACI_Ellipsoptera_marginata	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.0252769	0.0426542	0.0704615	0.105774	0.139027	0.157325	0.152095	0.125141	0.0874574	0.0518661	0.0260925	0.0111368	0.00403518	0.00124229	0.000325373	7.26105e-05	1.38308e-05	2.25319e-06	3.14629e-07	3.77463e-08	3.90041e-09	3.48046e-10	2.68919e-11	1.80411e-12	1.05385e-13	5.37522e-15	2.40074e-16	9.41577e-18	3.25199e-19	9.91834e-21	2.67879e-22	6.42783e-24	1.3825e-25	2.87001e-27	1.21154e-28	
N13	0.00435117	0.00932879	0.0210915	0.0435937	0.0781631	0.119301	0.15375	0.166558	0.15123	0.114875	0.0729255	0.0386806	0.0171507	0.00636429	0.00198006	0.000517709	0.000114075	2.12508e-05	3.35862e-06	4.52025e-07	5.20067e-08	5.13538e-09	4.3696e-10	3.21666e-11	2.05677e-12	1.14678e-13	5.59686e-15	2.39994e-16	9.07436e-18	3.03609e-19	9.01965e-21	2.38841e-22	5.69195e-24	1.31989e-25	6.38688e-27	
N14	6.92839e-06	4.10214e-05	0.00026951	0.00148589	0.0065718	0.0228749	0.0616248	0.126419	0.194446	0.221179	0.184097	0.111475	0.049113	0.0158386	0.00377899	0.000676183	9.20991e-05	9.69411e-06	8.00147e-07	5.2507e-08	2.77455e-09	1.19449e-10	4.23498e-12	1.24868e-13	3.08938e-15	6.46652e-17	1.15376e-18	1.76685e-20	2.33718e-22	2.68624e-24	2.69727e-26	2.37841e-28	1.85402e-30	1.32569e-32	1.60628e-34	
