species,chrom.num
POCHCH_Timarcha_aurichalcea,9
POCHCH_Timarcha_balearica,10
POCHCH_Timarcha_calceata,14
POCHCH_Timarcha_cornuta,9
POCHCH_Timarcha_cyanescens,9
POCHCH_Timarcha_espanoli,12
POCHCH_Timarcha_fallax,9
POCHCH_Timarcha_geniculata,9
POCHCH_Timarcha_goettingensis,9
POCHCH_Timarcha_gougeleti,10
POCHCH_Timarcha_granadensis,11
POCHCH_Timarcha_hispanica,10
POCHCH_Timarcha_insparsa,9
POCHCH_Timarcha_intermedia,9
POCHCH_Timarcha_interstitialis,9
POCHCH_Timarcha_intricata,21
POCHCH_Timarcha_lugens,9
POCHCH_Timarcha_marginicollis,9
POCHCH_Timarcha_maritima,9
POCHCH_Timarcha_metallica,"9,18"
POCHCH_Timarcha_montserratensis,9
POCHCH_Timarcha_perezi,9
POCHCH_Timarcha_pimelioides,13
POCHCH_Timarcha_recticollis,9
POCHCH_Timarcha_rugosa,12
POCHCH_Timarcha_scabripennis,"11,13"
POCHCH_Timarcha_sinuaticollis,9
POCHCH_Timarcha_strangulata,13
POCHCH_Timarcha_tenebricosa,10
POCHCH_Timarcha_ventricosa,12
