NODE	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
N1	1.51756e-11	2.23852e-09	1.06692e-07	2.82289e-06	4.69294e-05	0.000510429	0.00369338	0.0179478	0.0590681	0.133041	0.208196	0.232389	0.196517	0.148587	
POCHCH_Timarcha_intricata	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N2	5.49839e-08	2.222e-06	4.4207e-05	0.000556429	0.00458929	0.0247277	0.0857262	0.188322	0.261274	0.231968	0.134525	0.0518959	0.0135961	0.00277229	
POCHCH_Timarcha_metallica	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N3	4.15504e-11	1.00427e-08	1.15949e-06	7.04973e-05	0.00214459	0.0299223	0.171923	0.373376	0.305017	0.101139	0.0152035	0.00115309	4.85684e-05	1.38886e-06	
N4	5.51337e-06	0.000186193	0.00257421	0.0194421	0.0843105	0.210643	0.300423	0.241485	0.108615	0.0277211	0.00417686	0.000391592	2.45243e-05	1.39643e-06	
POCHCH_Timarcha_insparsa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
POCHCH_Timarcha_balearica	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
N5	4.86309e-13	4.3865e-10	1.5346e-07	2.23747e-05	0.00127661	0.0261993	0.179942	0.402181	0.300821	0.0806906	0.00847605	0.000382368	8.22758e-06	1.21767e-07	
N6	1.62775e-13	1.90047e-10	8.79643e-08	1.61944e-05	0.0010904	0.0247058	0.178143	0.405287	0.302648	0.0796971	0.00806248	0.000342388	6.77171e-06	9.26981e-08	
N7	1.24226e-09	1.39462e-07	8.3358e-06	0.000284667	0.005216	0.0473857	0.197441	0.356773	0.277251	0.0972995	0.0167202	0.00153454	8.27168e-05	3.54228e-06	
POCHCH_Timarcha_scabripennis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
N8	1.06241e-08	1.4113e-06	7.67908e-05	0.00198581	0.024386	0.136607	0.33094	0.335005	0.141942	0.0265637	0.00237873	0.000110978	2.9617e-06	6.27538e-08	
