POTEPI_Pimelia_boyeri	0	0	1	0	0	0	
N39	4.21701e-09	1	6.05633e-22	1.5382e-47	3.0067e-57	1.42399e-77	
N40	6.54987e-10	1	1.73764e-12	4.81637e-37	3.10199e-62	1.71913e-96	
POTEPI_Pimelia_mauritanica	0	1	0	0	0	0	
POTEPI_Pimelia_atlantis_atlantis	0	0	1	0	0	0	
POTEPI_Pimelia_atlantis_frigioides	0	1	0	0	0	0	
N41	1.1692e-06	0.999999	1.01764e-12	1.12851e-36	2.39165e-61	2.3163e-66	
N42	1.83831e-07	1	1.63551e-12	1.95181e-36	4.6388e-61	5.62031e-56	
N43	2.99584e-08	1	6.941e-24	1.62178e-48	3.40804e-71	5.08704e-53	
N44	3.6059e-10	1	5.57413e-26	8.14977e-44	6.19429e-37	1.79982e-36	
N45	2.85895e-10	1	2.35765e-25	7.00063e-51	1.94617e-85	3.86176e-109	
POTEPI_Pimelia_canariensis	0	1	0	0	0	0	
POTEPI_Pimelia_ascendens	0	1	0	0	0	0	
N46	9.64567e-11	1	6.542e-25	5.34899e-50	1.06166e-72	8.90829e-82	
POTEPI_Pimelia_laevigata_costipennis	0	1	0	0	0	0	
N47	7.08691e-13	1	9.35244e-26	1.09271e-51	3.98219e-78	3.34924e-37	
POTEPI_Pimelia_laevigata_laevigata	0	1	0	0	0	0	
POTEPI_Pimelia_laevigata_validipes	0	1	0	0	0	0	
N48	1.27583e-08	1	2.76809e-24	9.57796e-49	9.81638e-74	2.50393e-89	
POTEPI_Pimelia_radula	0	1	0	0	0	0	
N49	8.05521e-10	1	1.56437e-24	3.06009e-49	1.66443e-68	2.22712e-42	
N50	9.71334e-12	1	1.32556e-25	2.19401e-51	1.15022e-77	2.46941e-37	
POTEPI_Pimelia_sparsa_serrimargo	0	1	0	0	0	0	
POTEPI_Pimelia_sparsa_albohumeralis	0	1	0	0	0	0	
N51	1.18904e-11	1	1.52625e-25	2.90786e-51	1.76746e-77	2.17953e-37	
