N9	0.167282	0.14431	0.123806	0.105551	0.089351	0.0750324	0.0624408	0.0514371	0.0418946	0.0336956	0.0267282	0.0208828	0.0160502	0.01212	0.0089811	0.00652323	0.00463901	0.00322676	0.00219312	0.00145519	0.000941818	0.000594114	0.000365022	0.000218293	0.000126998	7.18474e-05	3.95152e-05	2.11274e-05	1.0985e-05	5.55933e-06	2.74372e-06	1.32548e-06	6.31674e-07	3.02427e-07	1.52681e-07	9.18163e-08	
N10	0.182546	0.15683	0.133374	0.112139	0.0930922	0.0761972	0.0614028	0.0486381	0.0378087	0.0287937	0.0214461	0.0155955	0.0110541	0.00762449	0.00510965	0.00332224	0.00209284	0.00127575	0.000751656	0.000427609	0.000234664	0.000124127	6.32424e-05	3.10189e-05	1.46402e-05	6.64793e-06	2.90453e-06	1.2216e-06	4.95139e-07	1.93815e-07	7.35418e-08	2.72285e-08	9.95486e-09	3.68187e-09	1.46277e-09	7.37193e-10	
ADCAHA_Calathus_ambiguus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.191735	0.164228	0.138772	0.115496	0.0945241	0.0759486	0.0598099	0.0460855	0.0346857	0.0254557	0.0181856	0.0126256	0.00850472	0.00554976	0.00350316	0.00213608	0.00125659	0.000712318	0.000388682	0.000203954	0.000102827	4.9773e-05	2.31154e-05	1.02943e-05	4.39442e-06	1.79767e-06	7.04726e-07	2.64835e-07	9.54943e-08	3.31048e-08	1.10786e-08	3.60919e-09	1.16529e-09	3.87855e-10	1.45314e-10	7.33082e-11	
ADCAHA_Calathus_fuscipes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.197514	0.168816	0.142	0.117337	0.0950777	0.0754167	0.0584613	0.0442147	0.032574	0.0233407	0.0162424	0.0109614	0.0071643	0.00452917	0.00276616	0.00163028	0.000926234	0.000506797	0.000266821	0.000135061	6.56823e-05	3.06687e-05	1.37411e-05	5.90491e-06	2.43269e-06	9.6051e-07	3.63384e-07	1.31724e-07	4.57659e-08	1.52568e-08	4.89408e-09	1.52163e-09	4.66911e-10	1.47786e-10	5.33583e-11	2.65795e-11	
ADCAHA_Calathus_erratus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_melanocephalus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_rectus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.162248	0.140303	0.120961	0.103886	0.0887804	0.0753917	0.0635157	0.0529933	0.0437048	0.0355611	0.0284929	0.02244	0.0173413	0.0131286	0.00972307	0.00703489	0.00496668	0.00341798	0.00229067	0.00149375	0.00094711	0.000583502	0.000349102	0.000202726	0.000114214	6.24051e-05	3.30593e-05	1.6978e-05	8.45413e-06	4.08456e-06	1.91835e-06	8.79692e-07	3.97957e-07	1.82024e-07	8.92907e-08	5.3323e-08	
N14	0.164877	0.142854	0.123611	0.106649	0.0915297	0.0779074	0.0655458	0.0543166	0.0441806	0.0351571	0.0272875	0.020602	0.0150941	0.0107092	0.00734458	0.00486147	0.00310155	0.00190506	0.00112548	0.000639022	0.000348452	0.000182379	9.15827e-05	4.41066e-05	2.03676e-05	9.01715e-06	3.82753e-06	1.55822e-06	6.08902e-07	2.28768e-07	8.29191e-08	2.92032e-08	1.01519e-08	3.61164e-09	1.42951e-09	7.47071e-10	
N15	0.130404	0.117703	0.109851	0.104251	0.0986339	0.0914318	0.0819744	0.0704626	0.0577375	0.0449339	0.0331326	0.0231097	0.0152298	0.00947534	0.00556202	0.00307898	0.00160683	0.000790335	0.00036632	0.000159984	6.58333e-05	2.55258e-05	9.32643e-06	3.21154e-06	1.04245e-06	3.19045e-07	9.20959e-08	2.50847e-08	6.45114e-09	1.56817e-09	3.61079e-10	7.91292e-11	1.6704e-11	3.51285e-12	8.14697e-13	2.79735e-13	
ADCAHA_Calathus_circumseptus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_freyi	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_ascendens	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCAHA_Calathus_auctus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
