NODE	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	
N1	0.0408616	0.0409489	0.0411253	0.0413902	0.0417403	0.04217	0.0426709	0.0432326	0.0438428	0.0444873	0.0451514	0.0458196	0.0464767	0.0471084	0.0477013	0.0482441	0.0487268	0.0491416	0.0494822	0.0497436	0.0499217	0.0500127	
N2	0.063753	0.060999	0.0585633	0.0564081	0.0544925	0.052774	0.0512099	0.0497595	0.048385	0.0470533	0.0457368	0.0444143	0.0430711	0.0416988	0.0402953	0.038863	0.0374087	0.0359413	0.0344709	0.0330076	0.0315601	0.0301346	
N3	0.0746634	0.0711489	0.0677533	0.0644725	0.0613028	0.0582404	0.0552825	0.0524269	0.0496727	0.0470201	0.0444703	0.0420259	0.0396902	0.0374673	0.0353614	0.0333765	0.031516	0.0297823	0.0281764	0.0266976	0.0253434	0.0241094	
POCUSC_Dendroctonus_jeffreyi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_ponderosae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0718187	0.0685547	0.0655047	0.0626438	0.0599437	0.0573747	0.0549072	0.0525135	0.0501697	0.0478573	0.0455646	0.0432869	0.0410275	0.0387965	0.0366105	0.0344904	0.03246	0.0305429	0.0287612	0.0271323	0.0256677	0.0243715	
POCUSC_Dendroctonus_frontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
N5	0.07988	0.0760701	0.0723391	0.0686812	0.065089	0.0615549	0.0580729	0.0546405	0.0512597	0.0479381	0.0446893	0.0415318	0.0384886	0.0355852	0.0328477	0.0303008	0.0279659	0.0258597	0.0239933	0.0223714	0.0209923	0.0198484	
POCUSC_Dendroctonus_adjunctus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.106484	0.100677	0.0943464	0.0876065	0.0805837	0.0734121	0.0662274	0.0591611	0.0523353	0.0458577	0.0398183	0.0342859	0.0293075	0.0249078	0.021091	0.0178427	0.015134	0.0129252	0.0111706	0.00982244	0.00883527	0.00816859	
POCUSC_Dendroctonus_approximatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_brevicomis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.0486386	0.0467688	0.0453544	0.0443516	0.0437169	0.0434064	0.0433758	0.0435794	0.0439696	0.0444968	0.0451088	0.0457513	0.046368	0.0469023	0.0472978	0.0475011	0.0474632	0.0471422	0.0465055	0.045532	0.0442135	0.0425559	
N8	0.0661528	0.0632061	0.0605129	0.0580494	0.0557901	0.0537094	0.0517814	0.0499811	0.0482846	0.0466702	0.0451184	0.0436123	0.0421383	0.0406857	0.0392468	0.0378166	0.0363927	0.0349745	0.0335629	0.0321596	0.0307669	0.029387	
POCUSC_Dendroctonus_simplex	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_pseudotsugae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.0476279	0.0458027	0.04443	0.043469	0.0428796	0.0426225	0.0426575	0.042943	0.0434348	0.0440852	0.0448422	0.04565	0.0464489	0.0471762	0.0477686	0.0481635	0.0483027	0.0481348	0.0476184	0.0467254	0.0454428	0.0437742	
N10	0.0489437	0.0470545	0.045617	0.0445882	0.0439253	0.0435853	0.0435245	0.0436975	0.0440569	0.0445528	0.0451326	0.0457415	0.0463231	0.0468205	0.0471783	0.0473437	0.0472696	0.0469162	0.0462532	0.0452615	0.0439347	0.0422793	
POCUSC_Dendroctonus_punctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
N11	0.051386	0.0501116	0.0498893	0.0504929	0.0516608	0.0531108	0.054559	0.0557378	0.0564158	0.0564147	0.0556236	0.0540067	0.0516051	0.0485301	0.04495	0.0410715	0.0371184	0.03331	0.0298418	0.0268703	0.0245026	0.0227911	
POCUSC_Dendroctonus_rufipennis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_murrayanae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
N12	0.0387242	0.0375279	0.0369551	0.0369373	0.0374044	0.0382844	0.039503	0.0409832	0.0426457	0.044409	0.0461906	0.0479084	0.0494827	0.0508388	0.0519092	0.052636	0.0529727	0.052886	0.052356	0.0513769	0.0499559	0.0481126	
POCUSC_Dendroctonus_valens	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
POCUSC_Dendroctonus_terebrans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
